物件CD,物件名,所在地,築年数,建築種別,構造,向き,階建,間取り,間取り詳細,専有面積,間取り図,取引様態,取引先,更新日
100345720770,リヴシティ横濱七島町 - (株)タウンハウジング神奈川 鶴見店が提供する賃貸物件情報,神奈川県横浜市神奈川区七島町,2017年7月,マンション,鉄筋コン,南西,4階/7階建,1K,洋6.4 K1.5,22.11m2,https://img01.suumo.com/front/gazo/fr/bukken/770/100345720770/100345720770_co.jpg,仲介,(株)タウンハウジング神奈川 鶴見店,2023/09/25
100345422455,リヴシティ横浜東ベイサイド - (株)クレアスレント横浜店が提供する賃貸物件情報,神奈川県横浜市神奈川区東神奈川２,2010年11月,マンション,鉄筋コン,南東,6階/10階建,1K,洋6.7 K1.5,20.02m2,https://img01.suumo.com/front/gazo/fr/bukken/455/100345422455/100345422455_co.jpg,仲介,(株)クレアスレント横浜店,2023/09/24
100342823375,リヴシティ横浜東ベイサイド - アパマンショップ関内店(株)Selectが提供する賃貸物件情報,神奈川県横浜市神奈川区東神奈川２,2010年11月,マンション,鉄筋コン,南東,6階/10階建,1K,洋6.7 K,20.02m2,https://img01.suumo.com/front/gazo/fr/bukken/375/100342823375/100342823375_co.jpg,仲介,アパマンショップ関内店(株)Select,2023/09/24
100343313667,リヴシティ横浜東ベイサイド - (株)タウンハウジング神奈川 大倉山店が提供する賃貸物件情報,神奈川県横浜市神奈川区東神奈川２,2010年11月,マンション,鉄筋コン,南東,6階/10階建,1K,洋6.7,20.02m2,https://img01.suumo.com/front/gazo/fr/bukken/667/100343313667/100343313667_co.jpg,仲介,(株)タウンハウジング神奈川 大倉山店,2023/09/24
100343314105,リヴシティ横浜東ベイサイド - (株)タウンハウジング神奈川 鶴見店が提供する賃貸物件情報,神奈川県横浜市神奈川区東神奈川２,2010年11月,マンション,鉄筋コン,南東,6階/10階建,1K,洋6.7,20.02m2,https://img01.suumo.com/front/gazo/fr/bukken/105/100343314105/100343314105_co.jpg,仲介,(株)タウンハウジング神奈川 鶴見店,2023/09/24
100343313391,リヴシティ横浜東ベイサイド - (株)タウンハウジング神奈川 横浜店が提供する賃貸物件情報,神奈川県横浜市神奈川区東神奈川２,2010年11月,マンション,鉄筋コン,南東,6階/10階建,1K,-,20.02m2,https://img01.suumo.com/front/gazo/fr/bukken/391/100343313391/100343313391_co.jpg,仲介,(株)タウンハウジング神奈川 横浜店,2023/09/24
100343709215,マリーナヨコハマベイサイド 203号室 - (株)未来企画本店が提供する賃貸物件情報,神奈川県横浜市神奈川区東神奈川２,2017年6月,マンション,鉄筋コン,南東,2階/5階建,1K,洋6.7,20.18m2,https://img01.suumo.com/front/gazo/fr/bukken/215/100343709215/100343709215_co.jpg,仲介,(株)未来企画本店,2023/09/24
100343842510,マリーナヨコハマベイサイド 203号室 - (株)未来企画桜木町店が提供する賃貸物件情報,神奈川県横浜市神奈川区東神奈川２,2017年6月,マンション,鉄筋コン,南東,2階/5階建,1K,洋6.7,20.18m2,https://img01.suumo.com/front/gazo/fr/bukken/510/100343842510/100343842510_co.jpg,仲介,(株)未来企画桜木町店,2023/09/24
100339853853,クレヴィスタ横浜新子安 - (株)エリア・エステートが提供する賃貸物件情報,神奈川県横浜市神奈川区子安通１,2014年11月,マンション,鉄筋コン,南,5階/11階建,1K,洋6.1 K1.5,20.87m2,https://img01.suumo.com/front/gazo/fr/bukken/853/100339853853/100339853853_co.jpg,仲介,(株)エリア・エステート,2023/09/24
100339856694,京急本線 子安駅 11階建 築9年 - (株)エルeサーチが提供する賃貸物件情報,神奈川県横浜市神奈川区子安通１,2014年11月,マンション,鉄筋コン,南,5階/11階建,1K,洋6.1 K1.5,20.87m2,https://img01.suumo.com/front/gazo/fr/bukken/694/100339856694/100339856694_co.jpg,仲介,(株)エルeサーチ,2023/09/24
100341720649,京急本線 子安駅 11階建 築9年 - (株)エルeサーチが提供する賃貸物件情報,神奈川県横浜市神奈川区子安通１,2014年11月,マンション,鉄筋コン,南,2階/11階建,1K,洋6.1 K1.5,20.87m2,https://img01.suumo.com/front/gazo/fr/bukken/649/100341720649/100341720649_co.jpg,仲介,(株)エルeサーチ,2023/09/24
