物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100345720770,7万円,10000円,-,7万円,-,-
100345422455,7万円,10000円,-,7万円,-,-
100342823375,6.9万円,10000円,-,6.9万円,-,-
100343313667,6.9万円,10000円,-,6.9万円,-,-
100343314105,6.9万円,10000円,-,6.9万円,-,-
100343313391,6.9万円,10000円,-,6.9万円,-,-
100343709215,7万円,5000円,7万円,-,-,-
100343842510,7万円,5000円,7万円,-,-,-
100339853853,6.55万円,12000円,-,6.55万円,-,-
100339856694,6.55万円,12000円,-,6.55万円,-,-
100341720649,6.35万円,12000円,-,-,7.55万円,7.55万円
100341719751,6.35万円,12000円,-,-,7.55万円,7.55万円
100342503124,6.35万円,12000円,-,-,7.55万円,7.55万円
100342548057,6.35万円,12000円,-,-,7.55万円,7.55万円
100345712876,7万円,10000円,-,7万円,-,-
100345719505,7万円,10000円,-,7万円,-,-
100345492576,7万円,10000円,-,7万円,-,-
100344921128,6.35万円,12000円,-,-,7.55万円,-
100345625656,7万円,10000円,-,-,7万円,-
100345626232,7万円,10000円,-,-,7万円,-
100345623474,7万円,10000円,-,-,7万円,-
100335872435,6.99万円,5000円,6.99万円,6.99万円,-,-
100316093085,6.99万円,5000円,6.99万円,6.99万円,-,-
100345064481,6.4万円,12000円,-,6.4万円,-,-
100345104867,6.4万円,12000円,-,6.4万円,-,-
100345154811,6.4万円,12000円,-,6.4万円,-,-
100345153232,6.4万円,12000円,-,6.4万円,-,-
100342028513,7万円,5000円,-,7万円,-,-
100342137982,7万円,5000円,-,7万円,-,-
100345137398,6.55万円,12000円,-,6.55万円,-,-
100345124526,6.7万円,10000円,-,-,-,-
100345124648,6.7万円,10000円,-,-,-,-
100297451495,6.55万円,12000円,-,6.55万円,-,-
100334889538,6.7万円,10000円,-,-,-,-
100345355675,6.2万円,20000円,-,6.2万円,-,-
100345078145,6.35万円,12000円,-,-,7.55万円,7.55万円
100345364582,6.35万円,12000円,-,-,7.55万円,7.55万円
100342860864,6.9万円,3000円,-,-,-,-
100330226891,6.95万円,15000円,-,6.95万円,-,-
100340635857,6.9万円,15000円,-,6.9万円,-,-
100334790790,6.7万円,10000円,-,-,-,-
100342492709,6.55万円,12000円,-,6.55万円,-,-
100342588678,6.55万円,12000円,-,6.55万円,-,-
100340567460,6.8万円,15000円,-,6.8万円,-,-
100283711372,7万円,15000円,-,7万円,-,-
100338779508,6.95万円,10000円,-,-,-,-
100333063880,6.95万円,10000円,-,-,-,-
