沿線,駅,lon,lat
JR中央本線,相模湖,139.1885,35.617335
JR中央本線,藤野,139.15239,35.615918
JR京浜東北線,川崎,139.697485,35.531311
JR京浜東北線,鶴見,139.67614,35.508387
JR京浜東北線,新子安,139.654776,35.487064
JR京浜東北線,東神奈川,139.633466,35.47804
JR京浜東北線,横浜,139.622704,35.466195
JR南武支線,尻手,139.684233,35.530939
JR南武支線,八丁畷,139.691446,35.52307
JR南武支線,川崎新町,139.699348,35.518234
JR南武支線,小田栄,139.704944,35.5145
JR南武支線,浜川崎,139.713483,35.510428
JR南武線,川崎,139.697485,35.531311
JR南武線,尻手,139.684233,35.530939
JR南武線,矢向,139.68055,35.539408
JR南武線,鹿島田,139.674964,35.551459
JR南武線,平間,139.671039,35.560564
JR南武線,向河原,139.66725,35.572891
JR南武線,武蔵小杉,139.65963,35.57669
JR南武線,武蔵中原,139.640613,35.581498
JR南武線,武蔵新城,139.629419,35.587369
JR南武線,武蔵溝ノ口,139.61139,35.598923
JR南武線,津田山,139.600002,35.604259
JR南武線,久地,139.592714,35.610363
JR南武線,宿河原,139.579565,35.615429
JR南武線,登戸,139.570028,35.620889
JR南武線,中野島,139.5501,35.630135
JR南武線,稲田堤,139.535173,35.633701
JR御殿場線,国府津,139.212932,35.280832
JR御殿場線,下曽我,139.183395,35.303554
JR御殿場線,上大井,139.163508,35.321883
JR御殿場線,相模金子,139.150753,35.33364
JR御殿場線,松田,139.137417,35.346843
JR御殿場線,東山北,139.10765,35.357637
JR御殿場線,山北,139.080212,35.360808
JR御殿場線,谷峨,139.038234,35.366561
JR東海道本線,川崎,139.697485,35.531311
JR東海道本線,横浜,139.622704,35.466195
JR東海道本線,戸塚,139.534282,35.400432
JR東海道本線,大船,139.531127,35.353466
JR東海道本線,藤沢,139.487293,35.338882
JR東海道本線,辻堂,139.447106,35.336846
JR東海道本線,茅ヶ崎,139.407197,35.330741
JR東海道本線,平塚,139.349063,35.327647
JR東海道本線,大磯,139.313388,35.311299
JR東海道本線,二宮,139.256925,35.298644
JR東海道本線,国府津,139.212932,35.280832
JR東海道本線,鴨宮,139.180147,35.275744
JR東海道本線,小田原,139.155772,35.256225
JR東海道本線,早川,139.145014,35.238875
JR東海道本線,根府川,139.138504,35.202455
JR東海道本線,真鶴,139.132148,35.156837
JR東海道本線,湯河原,139.102142,35.146178
JR根岸線,横浜,139.622704,35.466195
JR根岸線,桜木町,139.63088,35.451112
JR根岸線,関内,139.636984,35.443336
JR根岸線,石川町,139.642934,35.438808
JR根岸線,山手,139.646425,35.426891
JR根岸線,根岸,139.636034,35.415887
JR根岸線,磯子,139.617916,35.399881
JR根岸線,新杉田,139.619483,35.386863
JR根岸線,洋光台,139.596852,35.378785
JR根岸線,港南台,139.576243,35.375183
JR根岸線,本郷台,139.550159,35.36787
JR根岸線,大船,139.531127,35.353466
JR横浜線,東神奈川,139.633466,35.47804
JR横浜線,大口,139.646288,35.492375
JR横浜線,菊名,139.630147,35.509749
JR横浜線,新横浜,139.617348,35.506824
JR横浜線,小机,139.599787,35.508533
JR横浜線,鴨居,139.56707,35.510955
JR横浜線,中山,139.539692,35.514745
JR横浜線,十日市場,139.51669,35.526254
JR横浜線,長津田,139.49468,35.531698
JR横浜線,古淵,139.419151,35.556055
JR横浜線,淵野辺,139.395075,35.568784
JR横浜線,矢部,139.386373,35.573275
JR横浜線,相模原,139.371007,35.58113
JR横浜線,橋本,139.344586,35.594975
JR横須賀線,武蔵小杉,139.663278,35.575965
JR横須賀線,新川崎,139.671481,35.551784
JR横須賀線,横浜,139.622704,35.466195
JR横須賀線,保土ヶ谷,139.599671,35.446746
JR横須賀線,東戸塚,139.556794,35.430353
JR横須賀線,戸塚,139.534282,35.400432
JR横須賀線,大船,139.531127,35.353466
JR横須賀線,北鎌倉,139.545134,35.337198
JR横須賀線,鎌倉,139.550428,35.318793
JR横須賀線,逗子,139.578292,35.297392
JR横須賀線,東逗子,139.601768,35.298781
JR横須賀線,田浦,139.637726,35.29271
JR横須賀線,横須賀,139.655855,35.284022
JR横須賀線,衣笠,139.661193,35.257091
JR横須賀線,久里浜,139.700862,35.233107
JR湘南新宿ライン,武蔵小杉,139.65963,35.57669
JR湘南新宿ライン,新川崎,139.671481,35.551784
JR湘南新宿ライン,横浜,139.622704,35.466195
JR湘南新宿ライン,保土ヶ谷,139.599671,35.446746
JR湘南新宿ライン,東戸塚,139.556794,35.430353
JR湘南新宿ライン,戸塚,139.534282,35.400432
JR湘南新宿ライン,大船,139.531127,35.353466
JR相模線,茅ヶ崎,139.407197,35.330741
JR相模線,北茅ヶ崎,139.407569,35.339167
JR相模線,香川,139.400044,35.35655
JR相模線,寒川,139.387452,35.367579
JR相模線,宮山,139.379639,35.382261
JR相模線,倉見,139.378422,35.395098
JR相模線,門沢橋,139.380139,35.406761
JR相模線,社家,139.377281,35.420543
JR相模線,厚木,139.378631,35.44375
JR相模線,海老名,139.389328,35.454282
JR相模線,入谷,139.391913,35.478478
JR相模線,相武台下,139.386297,35.492734
JR相模線,下溝,139.380428,35.518516
JR相模線,原当麻,139.375355,35.528978
JR相模線,番田,139.362988,35.545392
JR相模線,上溝,139.36315,35.557623
JR相模線,南橋本,139.352484,35.58042
JR相模線,橋本,139.344586,35.594975
