物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100347088544,120000.0,60000.0,120000.0,120000.0,,
100347566361,160000.0,50000.0,,,,
100347565968,160000.0,50000.0,,,,
100347496241,90000.0,80000.0,90000.0,90000.0,,
100347614974,90000.0,30000.0,90000.0,90000.0,,
100347512034,80000.0,30000.0,,80000.0,,
100297017737,70000.0,20000.0,70000.0,70000.0,,
100347642581,60000.0,30000.0,60000.0,60000.0,,
100346675305,60000.0,20000.0,,60000.0,,
100346674124,60000.0,20000.0,,60000.0,,
100346691241,60000.0,20000.0,,60000.0,,
100346675091,60000.0,20000.0,,60000.0,,
100347613970,,30000.0,,,,
100347382966,80000.0,30000.0,,80000.0,,
100346623795,60000.0,20000.0,,60000.0,,
100346623036,60000.0,20000.0,,60000.0,,
100347295483,110000.0,60000.0,110000.0,170000.0,,
100347545747,70000.0,30000.0,,70000.0,,
100347633765,50000.0,30000.0,,,,
100347300795,,30000.0,,,,
100346996643,80000.0,80000.0,,80000.0,,
100347468818,70000.0,20000.0,,,,
100346849201,70000.0,20000.0,,,,
100329331322,70000.0,50000.0,,70000.0,,
100347559268,50000.0,20000.0,50000.0,50000.0,,
100347101777,50000.0,30000.0,,,,
100347467399,50000.0,30000.0,,,,
100347198056,50000.0,30000.0,,,,
100346837613,70000.0,50000.0,,,,
100343523282,70000.0,50000.0,,150000.0,,
100346764754,70000.0,50000.0,,,,
100347044860,70000.0,50000.0,,70000.0,,
100347211664,70000.0,50000.0,,70000.0,,
100343019151,70000.0,50000.0,,,,
100343464947,70000.0,50000.0,,,,
100343523277,80000.0,50000.0,,170000.0,,
100343523278,80000.0,50000.0,,170000.0,,
100343523280,90000.0,50000.0,,180000.0,,
100275147129,110000.0,,220000.0,,,
100347633709,120000.0,60000.0,120000.0,120000.0,,
100347644569,120000.0,60000.0,120000.0,120000.0,,
100347641221,120000.0,60000.0,120000.0,120000.0,,
100347641560,120000.0,60000.0,120000.0,120000.0,,
100347589976,120000.0,60000.0,120000.0,120000.0,,
100347589856,60000.0,50000.0,,60000.0,,
100347589887,,50000.0,,,,
100347075826,120000.0,60000.0,120000.0,120000.0,,
100347589865,,50000.0,,,,
100300292782,,30000.0,,,,
100347520333,50000.0,50000.0,50000.0,,,
100347616972,60000.0,20000.0,60000.0,,,
100268224310,50000.0,50000.0,,50000.0,,
100347609823,100000.0,100000.0,100000.0,200000.0,,
100347609608,100000.0,100000.0,100000.0,200000.0,,
100347606714,100000.0,100000.0,100000.0,200000.0,,
100347077899,100000.0,100000.0,100000.0,200000.0,,
100347630688,160000.0,50000.0,,,,
100347620024,160000.0,50000.0,,,,
100347633774,160000.0,50000.0,,,,
100346790124,100000.0,100000.0,100000.0,200000.0,,
100346790317,100000.0,100000.0,100000.0,200000.0,,
100346764798,100000.0,100000.0,100000.0,200000.0,,
100346762837,100000.0,100000.0,100000.0,200000.0,,
100347024567,100000.0,100000.0,100000.0,200000.0,,
100347101769,100000.0,100000.0,100000.0,200000.0,,
100346931956,100000.0,100000.0,100000.0,200000.0,,
100347211644,120000.0,60000.0,120000.0,120000.0,,
100347076517,120000.0,60000.0,120000.0,120000.0,,
100346808938,100000.0,100000.0,100000.0,200000.0,,
100347641620,190000.0,100000.0,190000.0,390000.0,,
100347641235,190000.0,100000.0,190000.0,390000.0,,
100347644624,190000.0,100000.0,190000.0,390000.0,,
100347641233,190000.0,100000.0,190000.0,390000.0,,
100347644548,190000.0,100000.0,190000.0,390000.0,,
100347641559,190000.0,100000.0,190000.0,390000.0,,
100347644651,,100000.0,,,,
100347641692,,100000.0,,,,
100347641244,,100000.0,,,,
100347641550,200000.0,100000.0,200000.0,410000.0,,
100347641231,200000.0,100000.0,200000.0,410000.0,,
100347644559,200000.0,100000.0,200000.0,410000.0,,
100347633764,,20000.0,,,,
100347633770,190000.0,100000.0,190000.0,390000.0,,
100347633746,,100000.0,,,,
100346628408,,100000.0,,,,
100346628370,200000.0,100000.0,200000.0,410000.0,,
100347024590,,,,,,
100347428718,,30000.0,,,,
100347604531,60000.0,,60000.0,,,
100347600640,60000.0,,60000.0,,,
100347597156,60000.0,,60000.0,,,
100347603242,60000.0,,60000.0,,,
100347603109,60000.0,,60000.0,,,
100347605590,60000.0,,60000.0,,,
100347603724,60000.0,,60000.0,,,
100347603720,60000.0,,60000.0,,,
100347554876,60000.0,,60000.0,,,
100347603292,40000.0,20000.0,,,,
100347597170,40000.0,20000.0,,,,
100347603700,40000.0,20000.0,,,,
100347557128,40000.0,20000.0,,,,
100347604519,40000.0,20000.0,,,,
100347605585,40000.0,20000.0,,,,
100347560398,40000.0,20000.0,,,,
100347554867,40000.0,20000.0,,,,
100347603111,40000.0,20000.0,,,,
100342432916,80000.0,30000.0,,80000.0,,
100347389545,90000.0,50000.0,,,,
100347506461,90000.0,50000.0,,,,
100341139524,70000.0,30000.0,70000.0,70000.0,,
100346199516,90000.0,20000.0,,,,
100338498604,70000.0,30000.0,70000.0,70000.0,,
100346818302,,60000.0,,,,
100343665711,,60000.0,,,,
100343613541,,60000.0,,,,
100347255605,,60000.0,,,,
100343666064,,60000.0,,,,
100343672074,,60000.0,,,,
58868825,,60000.0,,160000.0,,
100283357808,60000.0,10000.0,,,,
100346996614,90000.0,60000.0,,90000.0,,
51522661,100000.0,20000.0,100000.0,100000.0,,
100346996641,,60000.0,,,,
100347318913,80000.0,70000.0,80000.0,80000.0,,
100346584733,60000.0,40000.0,,,,
100345890775,60000.0,40000.0,,,,
100346315446,60000.0,40000.0,,,,
100347024759,90000.0,60000.0,90000.0,90000.0,,
55635096,,60000.0,,160000.0,,
100346587917,60000.0,40000.0,,,,
100346309681,60000.0,40000.0,,,,
100347492804,80000.0,30000.0,,80000.0,,
100347495344,80000.0,30000.0,,80000.0,,
100347394028,80000.0,30000.0,,80000.0,,
100341977695,80000.0,30000.0,80000.0,80000.0,,
100346864194,60000.0,20000.0,,60000.0,,
100346635599,60000.0,20000.0,,60000.0,,
100347358290,90000.0,30000.0,180000.0,90000.0,,
100347367522,90000.0,30000.0,180000.0,90000.0,,
100346996612,90000.0,40000.0,,90000.0,,
100094971223,90000.0,50000.0,90000.0,140000.0,,
100347426540,70000.0,30000.0,150000.0,70000.0,,
100346872268,70000.0,30000.0,150000.0,70000.0,,
100344471695,90000.0,60000.0,90000.0,90000.0,,
100344655406,90000.0,60000.0,90000.0,90000.0,,
100338434030,,50000.0,,,,
100346888231,80000.0,10000.0,80000.0,,,
100347393359,80000.0,30000.0,,80000.0,,
100347352774,80000.0,30000.0,,80000.0,,
100347395560,80000.0,30000.0,,80000.0,,
100347355205,80000.0,30000.0,,80000.0,,
100347354499,80000.0,30000.0,,80000.0,,
100347404745,80000.0,30000.0,,80000.0,,
100347411784,80000.0,30000.0,,80000.0,,
100347230399,80000.0,30000.0,,80000.0,,
