物件CD,連番,駅,沿線,徒歩分数(分),施設名,ジャンル,距離(m)
100347088544,1,大船駅,ＪＲ東海道本線,13.0,,,
100347088544,2,本郷台駅,ＪＲ京浜東北線,24.0,,,
100347088544,3,富士見町駅,湘南モノレール,30.0,,,
100347566361,1,大船駅,ＪＲ東海道本線,5.0,,,
100347566361,2,大船駅,ＪＲ横須賀線,5.0,,,
100347566361,3,大船駅,湘南モノレール,5.0,,,
100347565968,1,大船駅,ＪＲ東海道本線,5.0,,,
100347565968,2,大船駅,ＪＲ横須賀線,5.0,,,
100347565968,3,大船駅,湘南モノレール,5.0,,,
100347496241,1,本郷台駅,ＪＲ根岸線,9.0,,,
100347496241,2,大船駅,ＪＲ東海道本線,,,,
100347496241,3,上大岡駅,京急本線,,,,
100347614974,1,大船駅,ＪＲ東海道本線,10.0,,,
100347614974,2,富士見町駅,湘南モノレール,25.0,,,
100347614974,3,本郷台駅,ＪＲ根岸線,40.0,,,
100347512034,1,本郷台駅,ＪＲ京浜東北線,15.0,,,
100347512034,2,戸塚駅,ＪＲ東海道本線,,,,
100347512034,3,大船駅,ＪＲ根岸線,,,,
100297017737,1,本郷台駅,ＪＲ京浜東北線,9.0,,,
100347642581,1,本郷台駅,ＪＲ京浜東北線,10.0,,,
100347642581,2,大船駅,ＪＲ横須賀線,,,,
100347642581,3,港南台駅,ＪＲ京浜東北線,,,,
100346675305,1,本郷台駅,ＪＲ京浜東北線,9.0,,,
100346674124,1,本郷台駅,ＪＲ京浜東北線,9.0,,,
100346691241,1,本郷台駅,ＪＲ京浜東北線,9.0,,,
100346691241,2,港南台駅,ＪＲ京浜東北線,,,,
100346691241,3,大船駅,ＪＲ東海道本線,,,,
100346675091,1,本郷台駅,ＪＲ京浜東北線,9.0,,,
100347613970,1,大船駅,ＪＲ東海道本線,11.0,,,
100347613970,2,富士見町駅,湘南モノレール,26.0,,,
100347613970,3,本郷台駅,ＪＲ京浜東北線,29.0,,,
100347382966,1,本郷台駅,ＪＲ京浜東北線,15.0,,,
100347382966,2,戸塚駅,ＪＲ東海道本線,,,,
100347382966,3,大船駅,ＪＲ根岸線,,,,
100346623795,1,本郷台駅,ＪＲ京浜東北線,7.0,,,
100346623795,2,港南台駅,ＪＲ京浜東北線,,,,
100346623795,3,大船駅,ＪＲ横須賀線,,,,
100346623036,1,本郷台駅,ＪＲ京浜東北線,7.0,,,
100346623036,2,港南台駅,ＪＲ京浜東北線,,,,
100346623036,3,大船駅,ＪＲ横須賀線,,,,
100347295483,1,港南台駅,ＪＲ根岸線,11.0,,,
100347545747,1,本郷台駅,ＪＲ京浜東北線,20.0,,,
100347545747,2,本郷台駅,ＪＲ根岸線,,,,
100347633765,1,大船駅,ＪＲ東海道本線,11.0,,,
100347633765,2,大船駅,ＪＲ京浜東北線,11.0,,,
100347300795,1,大船駅,ＪＲ東海道本線,11.0,,,
100347300795,2,本郷台駅,ＪＲ京浜東北線,29.0,,,
100347300795,3,富士見町駅,湘南モノレール,28.0,,,
100346996643,1,本郷台駅,ＪＲ京浜東北線,7.0,,,
100346996643,2,大船駅,ＪＲ東海道本線,,,,
100347468818,1,本郷台駅,ＪＲ京浜東北線,8.0,,,
100347468818,2,大船駅,ＪＲ横須賀線,22.0,,,
100347468818,3,上大岡駅,京急本線,,,,
100346849201,1,本郷台駅,ＪＲ京浜東北線,8.0,,,
100346849201,2,大船駅,ＪＲ東海道本線,22.0,,,
100346849201,3,上大岡駅,京急本線,,,,
100329331322,1,本郷台駅,ＪＲ根岸線,10.0,,,
100329331322,2,港南台駅,ＪＲ京浜東北線,30.0,,,
100329331322,3,大船駅,ＪＲ京浜東北線,,,,
100347559268,1,本郷台駅,ＪＲ京浜東北線,7.0,,,
100347559268,2,大船駅,ＪＲ東海道本線,,,,
100347559268,3,港南台駅,ＪＲ京浜東北線,29.0,,,
100347101777,1,大船駅,ＪＲ東海道本線,7.0,,,
100347101777,2,富士見町駅,湘南モノレール,24.0,,,
100347101777,3,本郷台駅,ＪＲ京浜東北線,25.0,,,
100347467399,1,大船駅,湘南新宿ライン高海,7.0,,,
100347467399,2,富士見町駅,湘南モノレール,25.0,,,
100347467399,3,本郷台駅,ＪＲ根岸線,24.0,,,
100347198056,1,大船駅,ＪＲ京浜東北線,7.0,,,
100347198056,2,大船駅,ＪＲ東海道本線,7.0,,,
100347198056,3,富士見町駅,湘南モノレール,24.0,,,
100346837613,1,本郷台駅,ＪＲ京浜東北線,9.0,,,
100346837613,2,港南台駅,ＪＲ根岸線,30.0,,,
100346837613,3,大船駅,ＪＲ横須賀線,38.0,,,
100343523282,1,大船駅,ＪＲ京浜東北線,10.0,,,
100343523282,2,本郷台駅,ＪＲ京浜東北線,22.0,,,
100343523282,3,富士見町駅,湘南モノレール,27.0,,,
100346764754,1,大船駅,ＪＲ東海道本線,13.0,,,
100346764754,2,本郷台駅,ＪＲ京浜東北線,27.0,,,
100346764754,3,富士見町駅,湘南モノレール,29.0,,,
100347044860,1,大船駅,ＪＲ東海道本線,13.0,,,
100347044860,2,大船駅,ＪＲ京浜東北線,13.0,,,
100347044860,3,本郷台駅,ＪＲ京浜東北線,28.0,,,
100347211664,1,大船駅,ＪＲ東海道本線,13.0,,,
100347211664,2,大船駅,ＪＲ京浜東北線,13.0,,,
100347211664,3,本郷台駅,ＪＲ京浜東北線,28.0,,,
100343019151,1,大船駅,ＪＲ東海道本線,15.0,,,
100343464947,1,大船駅,ＪＲ東海道本線,15.0,,,
100343523277,1,大船駅,ＪＲ京浜東北線,10.0,,,
100343523277,2,本郷台駅,ＪＲ京浜東北線,22.0,,,
100343523277,3,富士見町駅,湘南モノレール,27.0,,,
100343523278,1,大船駅,ＪＲ京浜東北線,10.0,,,
100343523278,2,本郷台駅,ＪＲ京浜東北線,22.0,,,
100343523278,3,富士見町駅,湘南モノレール,27.0,,,
100343523280,1,大船駅,ＪＲ京浜東北線,10.0,,,
100343523280,2,本郷台駅,ＪＲ京浜東北線,22.0,,,
100343523280,3,富士見町駅,湘南モノレール,27.0,,,
100275147129,1,本郷台駅,ＪＲ根岸線,17.0,,,
100275147129,2,港南台駅,ＪＲ根岸線,30.0,,,
100275147129,3,大船駅,ＪＲ横須賀線,45.0,,,
100347633709,1,大船駅,ＪＲ東海道本線,13.0,,,
100347633709,2,大船駅,ＪＲ京浜東北線,13.0,,,
100347644569,1,大船駅,ＪＲ東海道本線,13.0,,,
100347644569,2,本郷台駅,ＪＲ京浜東北線,24.0,,,
100347641221,1,大船駅,ＪＲ東海道本線,13.0,,,
100347641221,2,本郷台駅,ＪＲ京浜東北線,24.0,,,
100347641560,1,大船駅,ＪＲ東海道本線,13.0,,,
100347641560,2,本郷台駅,ＪＲ京浜東北線,24.0,,,
100347589976,1,大船駅,ＪＲ東海道本線,13.0,,,
100347589976,2,本郷台駅,ＪＲ京浜東北線,22.0,,,
100347589976,3,富士見町駅,湘南モノレール,27.0,,,
100347589856,1,大船駅,ＪＲ京浜東北線,19.0,,,
100347589856,2,本郷台駅,ＪＲ京浜東北線,,,,
100347589856,3,富士見町駅,湘南モノレール,,,,
100347589887,1,大船駅,ＪＲ京浜東北線,19.0,,,
100347589887,2,本郷台駅,ＪＲ京浜東北線,36.0,,,
100347589887,3,富士見町駅,湘南モノレール,31.0,,,
100347075826,1,大船駅,ＪＲ東海道本線,13.0,,,
100347075826,2,本郷台駅,ＪＲ京浜東北線,21.0,,,
100347075826,3,富士見町駅,湘南モノレール,27.0,,,
100347589865,1,大船駅,ＪＲ京浜東北線,20.0,,,
100347589865,2,本郷台駅,ＪＲ京浜東北線,,,,
100347589865,3,富士見町駅,湘南モノレール,,,,
100300292782,1,本郷台駅,ＪＲ根岸線,9.0,,,
100300292782,2,大船駅,ＪＲ東海道本線,,,,
100300292782,3,上大岡駅,京急本線,,,,
100347520333,1,戸塚駅,ＪＲ東海道本線,,,,
100347520333,2,戸塚駅,ＪＲ東海道本線,34.0,,,
100347520333,3,大船駅,ＪＲ横須賀線,,,,
100347616972,1,港南台駅,ＪＲ京浜東北線,37.0,,,
100347616972,2,港南台駅,ＪＲ京浜東北線,,,,
100347616972,3,大船駅,ＪＲ東海道本線,,,,
100268224310,1,本郷台駅,ＪＲ京浜東北線,18.0,,,
100268224310,2,大船駅,ＪＲ京浜東北線,,,,
100268224310,3,富士見町駅,湘南モノレール,29.0,,,
100347609823,1,大船駅,ＪＲ東海道本線,3.0,,,
100347609823,2,富士見町駅,湘南モノレール,19.0,,,
100347609608,1,大船駅,ＪＲ東海道本線,3.0,,,
100347609608,2,富士見町駅,湘南モノレール,19.0,,,
100347606714,1,大船駅,ＪＲ東海道本線,3.0,,,
100347606714,2,富士見町駅,湘南モノレール,19.0,,,
100347077899,1,大船駅,ＪＲ京浜東北線,3.0,,,
100347077899,2,富士見町駅,湘南モノレール,17.0,,,
100347630688,1,大船駅,ＪＲ京浜東北線,8.0,,,
100347620024,1,大船駅,ＪＲ京浜東北線,8.0,,,
100347633774,1,大船駅,ＪＲ京浜東北線,8.0,,,
100346790124,1,大船駅,ＪＲ東海道本線,3.0,,,
100346790124,2,大船駅,湘南新宿ライン高海,3.0,,,
