物件CD,物件名,築年数,所在地_都道府県,所在地_市区町村,所在地_番地,建築種別,構造,向き,階建,間取り,間取り詳細,専有面積(m^2),間取り図,取引様態,取引先,更新日
100347088544,パーク・ノヴァ大船,1987年2月,神奈川県,横浜市,栄区笠間５,マンション,鉄筋コン,南,1階/4階建,3LDK,-,71.3,https://img01.suumo.com/front/gazo/fr/bukken/544/100347088544/100347088544_co.jpg,仲介,朝日リビング(株)湘南辻堂営業所,2023-10-08
100347566361,ＪＲ東海道本線 大船駅 3階建 築10年,2013年12月,神奈川県,横浜市,栄区笠間１,アパート,木造,-,3階/3階建,2LDK,洋6 洋5.5 LDK18.4,81.15,https://img01.suumo.com/front/gazo/fr/bukken/361/100347566361/100347566361_co.jpg,仲介,さくらde賃貸-new life- (株)さくらスタイル,2023-10-08
100347565968,I・L・R STUDIO,2013年12月,神奈川県,横浜市,栄区笠間１,アパート,木造,-,3階/3階建,2LDK,洋6 洋5.5 LDK18.4,81.15,https://img01.suumo.com/front/gazo/fr/bukken/968/100347565968/100347565968_co.jpg,仲介,横浜ルームギャラリー (株)さくらスタイル,2023-10-08
100347496241,ＪＲ根岸線 本郷台駅 7階建 築24年,2000年9月,神奈川県,横浜市,栄区桂町,マンション,鉄骨,南東,4階/7階建,2LDK,-,51.15,https://img01.suumo.com/front/gazo/fr/bukken/241/100347496241/100347496241_co.jpg,仲介,(株)ReStart,2023-10-08
100347614974,エトワールハイツ,2000年9月,神奈川県,横浜市,栄区長尾台町,マンション,鉄筋コン,南,2階/3階建,2LDK,洋6 洋5.1 LDK13.5,55.08,https://img01.suumo.com/front/gazo/fr/bukken/974/100347614974/100347614974_co.jpg,代理,(株)タイセイ・ハウジー上大岡営業所,2023-10-08
100347512034,コンフォート本郷台,2014年9月,神奈川県,横浜市,栄区飯島町,アパート,木造,南西,2階/2階建,1LDK,洋6 LDK10.5,45.07,https://img01.suumo.com/front/gazo/fr/bukken/034/100347512034/100347348536_co.jpg,仲介,ホームメイトFC横浜西口店(株)コムズアルファ,2023-10-08
100297017737,コーポ栄,1987年10月,神奈川県,横浜市,栄区桂町,マンション,鉄骨,-,2階/3階建,3DK,洋6 洋4.5 洋4.5 DK7.0,49.69,https://img01.suumo.com/front/gazo/fr/bukken/737/100297017737/100297017737_co.jpg,仲介,ハウスコム東神奈川(株)金沢文庫店,2023-10-08
100347642581,ＪＲ京浜東北線 本郷台駅 3階建 築14年,2010年1月,神奈川県,横浜市,栄区公田町,マンション,鉄骨,東,3階/3階建,ワンルーム,洋8,27.97,https://img01.suumo.com/front/gazo/fr/bukken/581/100347642581/100347642581_co.jpg,仲介,(株)タウンハウジング神奈川 戸塚店,2023-10-08
100346675305,アムール本郷台,2008年11月,神奈川県,横浜市,栄区桂町,アパート,木造,南西,1階/2階建,1K,洋10,29.81,https://img01.suumo.com/front/gazo/fr/bukken/305/100346675305/100346675305_co.jpg,仲介,さくらde賃貸-new life- (株)さくらスタイル,2023-10-08
100346674124,ＪＲ京浜東北線 本郷台駅 2階建 築15年,2008年11月,神奈川県,横浜市,栄区桂町,アパート,木造,南西,1階/2階建,1K,洋10,29.81,https://img01.suumo.com/front/gazo/fr/bukken/124/100346674124/100346674124_co.jpg,仲介,令和ハウジング (株)さくらスタイル令和ハウジング,2023-10-08
100346691241,アムール本郷台,2008年11月,神奈川県,横浜市,栄区桂町,アパート,木造,南西,1階/2階建,1K,洋10 K2,29.81,https://img01.suumo.com/front/gazo/fr/bukken/241/100346691241/100346691241_co.jpg,仲介,アエラス藤沢店 (株)アエラス,2023-10-08
100346675091,アムール本郷台,2008年11月,神奈川県,横浜市,栄区桂町,アパート,木造,南西,1階/2階建,1K,洋10,29.81,https://img01.suumo.com/front/gazo/fr/bukken/091/100346675091/100346675091_co.jpg,仲介,横浜ルームギャラリー (株)さくらスタイル,2023-10-08
100347613970,フォーレストI大船,2020年3月,神奈川県,横浜市,栄区笠間３,アパート,軽量鉄骨,南東,1階/2階建,1K,洋8.3,26.98,https://img01.suumo.com/front/gazo/fr/bukken/970/100347613970/100347613970_co.jpg,仲介,シャーメゾンショップ (株)湘南宅建,2023-10-08
100347382966,コンフォート本郷台,2014年9月,神奈川県,横浜市,栄区飯島町,アパート,木造,南西,2階/2階建,1LDK,洋6 LDK10.50,45.07,https://img01.suumo.com/front/gazo/fr/bukken/966/100347382966/100347382966_co.jpg,仲介,いい部屋ネット大東建託リーシング(株)藤沢店,2023-10-08
100346623795,アムール本郷台,2008年11月,神奈川県,横浜市,栄区桂町,アパート,木造,南西,1階/2階建,1K,-,29.81,https://img01.suumo.com/front/gazo/fr/bukken/795/100346623795/100346623795_co.jpg,仲介,(株)タウンハウジング神奈川 大船店,2023-10-08
100346623036,ＪＲ京浜東北線 本郷台駅 2階建 築15年,2008年11月,神奈川県,横浜市,栄区桂町,アパート,木造,南西,1階/2階建,1K,-,29.81,https://img01.suumo.com/front/gazo/fr/bukken/036/100346623036/100346623036_co.jpg,仲介,(株)タウンハウジング神奈川 戸塚店,2023-10-08
100347295483,ルミウス港南台弐番館,2016年9月,神奈川県,横浜市,栄区若竹町,マンション,鉄骨,南,2階/3階建,2LDK,洋6.3 洋6.1 LDK11.9,57.48,https://img01.suumo.com/front/gazo/fr/bukken/483/100347295483/100347295483_co.jpg,仲介,シャーメゾンショップ (株)アネッツ港南台店,2023-10-06
100347545747,グランブレナムII,2019年6月,神奈川県,横浜市,栄区公田町,アパート,木造,南東,1階/2階建,1LDK,洋5.6 LDK11.40,42.23,https://img01.suumo.com/front/gazo/fr/bukken/747/100347545747/100347545747_co.jpg,仲介,いい部屋ネット大東建託リーシング(株)大船店,2023-10-08
100347633765,ユナイト大船トレサージュ,2022年8月,神奈川県,横浜市,栄区笠間３,アパート,木造,北西,1階/2階建,ワンルーム,洋6,14.07,https://img01.suumo.com/front/gazo/fr/bukken/765/100347633765/100347633765_co.jpg,仲介,ハウスコム東神奈川(株)金沢文庫店,2023-10-08
100347300795,フォーレスト１大船,2020年4月,神奈川県,横浜市,栄区笠間３,アパート,軽量鉄骨,南東,1階/2階建,1K,洋8.3 K3.5,26.98,https://img01.suumo.com/front/gazo/fr/bukken/795/100347300795/100347300795_co.jpg,仲介,(株)ニチワ大船営業所,2023-10-08
100346996643,プリヴェール本郷台,1993年12月,神奈川県,横浜市,栄区小菅ケ谷２,マンション,鉄筋コン,南,1階/5階建,3DK,洋6 洋4.5 洋4 DK9,56.4,https://img01.suumo.com/front/gazo/fr/bukken/643/100346996643/100346996643_co.jpg,仲介,(株)ハウスメイトショップ大船店,2023-10-08
100347468818,サンガーデン本郷台壱番館,1995年8月,神奈川県,横浜市,栄区桂町,アパート,軽量鉄骨,南,2階/2階建,2DK,和6 洋6 DK4.5,41.73,https://img01.suumo.com/front/gazo/fr/bukken/818/100347468818/100347468818_co.jpg,仲介,(株)ミニミニ神奈川大船店,2023-10-08
100346849201,サンガーデン本郷台弐番館,1995年8月,神奈川県,横浜市,栄区桂町,アパート,軽量鉄骨,南,2階/2階建,2DK,和6 洋6 DK5,40.92,https://img01.suumo.com/front/gazo/fr/bukken/201/100346849201/100346849201_co.jpg,仲介,(株)ミニミニ神奈川大船店,2023-10-08
100329331322,ＪＲ根岸線 本郷台駅 2階建 築11年,2013年10月,神奈川県,横浜市,栄区鍛冶ケ谷２,アパート,木造,東,2階/2階建,1K,洋6.5,25.76,https://img01.suumo.com/front/gazo/fr/bukken/322/100329331322/100329331322_co.jpg,仲介,(株)タウンハウジング神奈川 大船店,2023-10-08
100347559268,ブルーバード,2007年1月,神奈川県,横浜市,栄区鍛冶ケ谷１,アパート,木造,-,2階/2階建,1K,洋6.5 ロフト 2.1,20.76,https://img01.suumo.com/front/gazo/fr/bukken/268/100347559268/100347559268_co.jpg,仲介,スマイスター横浜店(株)パーソネット,2023-10-08
