沿線,駅,所在地_市区町村,専有面積(m^2),賃料,徒歩分数(分),件数,lon,lat,賃料（万円）
,正門前,横浜市磯子区,21.55,62000.0,2.0,1.0,,,6.0
横浜みなとみらい線,みなとみらい駅,横浜市西区,48.20575757575757,196116.1616161616,11.151515151515152,198.0,139.632386,35.458028,20.0
横浜みなとみらい線,元町・中華街駅,横浜市中区,40.42983606557377,122147.54098360655,11.672131147540984,61.0,139.650446,35.44243,12.0
横浜みなとみらい線,新高島駅,横浜市西区,44.215066666666665,168920.0,7.92,75.0,139.626499,35.46192,17.0
横浜みなとみらい線,日本大通り駅,横浜市中区,38.35951219512195,131819.51219512196,13.951219512195122,41.0,139.642608,35.446821,13.0
横浜みなとみらい線,横浜駅,横浜市西区,37.92,157000.0,11.0,2.0,139.622299,35.466372,16.0
横浜みなとみらい線,馬車道駅,横浜市中区,34.01527272727273,122427.27272727272,8.363636363636363,55.0,139.636175,35.450135,12.0
横浜みなとみらい線,馬車道駅,横浜市西区,32.39382352941176,113882.35294117648,15.529411764705882,34.0,139.636175,35.450135,11.0
,センター北駅,横浜市都筑区,44.096,97000.0,21.1,10.0,,,10.0
,センター南駅,横浜市都筑区,50.620000000000005,128583.33333333333,13.333333333333334,6.0,,,13.0
,中山駅,横浜市緑区,44.258199999999995,86920.0,11.88,50.0,,,9.0
,北山田駅,横浜市港北区,41.63,87000.0,26.8,5.0,,,9.0
,北山田駅,横浜市都筑区,52.89524590163935,108540.98360655738,12.163934426229508,61.0,,,11.0
,川和町駅,横浜市緑区,45.17232876712329,87082.19178082192,23.619718309859156,73.0,,,9.0
,川和町駅,横浜市都筑区,43.48888888888889,106222.22222222222,16.0,9.0,,,11.0
,川和町駅,横浜市青葉区,56.42000000000001,95166.66666666667,20.0,6.0,,,10.0
,日吉本町駅,横浜市港北区,46.87071428571428,107571.42857142857,20.857142857142858,14.0,,,11.0
,東山田駅,横浜市港北区,44.34888888888889,97000.0,12.333333333333334,9.0,,,10.0
,東山田駅,横浜市都筑区,50.43047619047619,101666.66666666667,17.095238095238095,42.0,,,10.0
,都筑ふれあいの丘駅,横浜市緑区,52.39,100777.77777777778,29.0,9.0,,,10.0
,都筑ふれあいの丘駅,横浜市都筑区,48.579655172413794,105206.89655172414,13.655172413793103,29.0,,,11.0
,都筑ふれあいの丘駅,横浜市青葉区,48.532,94800.0,26.8,5.0,,,9.0
,高田駅,横浜市港北区,42.76074074074074,99592.5925925926,8.481481481481481,27.0,,,10.0
,高田駅,横浜市都筑区,45.277142857142856,98428.57142857143,26.571428571428573,7.0,,,10.0
金沢シーサイドライン,並木中央駅,横浜市金沢区,78.87,120000.0,26.0,1.0,139.642945,35.365505,12.0
金沢シーサイドライン,並木北駅,横浜市金沢区,30.453333333333337,87333.33333333333,15.0,3.0,139.642743,35.372015,9.0
金沢シーサイドライン,八景島駅,横浜市金沢区,56.35666666666666,92666.66666666667,10.0,3.0,139.64079,35.340914,9.0
金沢シーサイドライン,南部市場駅,横浜市磯子区,36.184705882352944,102176.4705882353,22.58823529411765,17.0,139.633163,35.380192,10.0
金沢シーサイドライン,南部市場駅,横浜市金沢区,31.145652173913046,81956.52173913043,15.347826086956522,23.0,139.633163,35.380192,8.0
金沢シーサイドライン,市大医学部駅,横浜市金沢区,44.25,75000.0,12.5,2.0,139.650156,35.343966,8.0
金沢シーサイドライン,幸浦駅,横浜市金沢区,40.91,65000.0,19.0,1.0,139.643706,35.358406,6.0
金沢シーサイドライン,新杉田駅,横浜市磯子区,32.73923076923077,78076.92307692308,14.153846153846153,13.0,139.620502,35.385919,8.0
金沢シーサイドライン,海の公園南口駅,横浜市金沢区,41.792692307692306,79730.76923076923,10.2,26.0,139.632096,35.337225,8.0
金沢シーサイドライン,海の公園柴口駅,横浜市金沢区,54.741052631578945,93315.78947368421,12.052631578947368,19.0,139.635846,35.342086,9.0
金沢シーサイドライン,福浦駅,横浜市金沢区,65.93,118000.0,15.0,1.0,139.648517,35.349627,12.0
金沢シーサイドライン,野島公園駅,横浜市金沢区,26.922000000000004,64750.0,8.6,20.0,139.631524,35.330559,6.0
金沢シーサイドライン,金沢八景駅,横浜市金沢区,47.928636363636365,82909.09090909091,21.90909090909091,22.0,139.620791,35.331587,8.0
金沢シーサイドライン,鳥浜駅,横浜市金沢区,29.10888888888889,85000.0,9.0,9.0,139.641704,35.377187,8.0
横浜市ブルーライン,あざみ野駅,横浜市青葉区,66.05,145000.0,17.076923076923077,13.0,139.553694,35.568076,14.0
横浜市ブルーライン,センター北駅,横浜市都筑区,54.722,114575.0,15.733333333333333,60.0,139.578457,35.55353,11.0
横浜市ブルーライン,センター南駅,横浜市緑区,161.06,85000.0,9.0,1.0,139.574291,35.545476,8.0
横浜市ブルーライン,センター南駅,横浜市都筑区,49.32978260869565,105619.56521739131,18.23913043478261,46.0,139.574291,35.545476,11.0
横浜市ブルーライン,センター南駅,横浜市青葉区,72.58,136000.0,3.5,2.0,139.574291,35.545476,14.0
横浜市ブルーライン,三ツ沢上町駅,横浜市保土ヶ谷区,27.415000000000003,69166.66666666667,11.333333333333334,,139.605395,35.476526,7.0
横浜市ブルーライン,三ツ沢上町駅,横浜市神奈川区,35.767500000000005,104583.33333333333,17.166666666666668,12.0,139.605395,35.476526,10.0
横浜市ブルーライン,三ツ沢上町駅,横浜市西区,19.013333333333332,64250.0,17.0,12.0,139.605395,35.476526,6.0
横浜市ブルーライン,三ツ沢下町駅,横浜市保土ヶ谷区,34.307500000000005,80250.0,14.0,,139.61481,35.476512,8.0
横浜市ブルーライン,三ツ沢下町駅,横浜市神奈川区,42.594375,99687.5,13.5,16.0,139.61481,35.476512,10.0
