物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100347321439,95000.0,3000000.0,95000.0,,,
100337642376,131000.0,,131000.0,262000.0,,
100347268642,70000.0,3500000.0,,70000.0,,
100347262606,115000.0,4700000.0,,,,
100347242238,130000.0,6000000.0,130000.0,130000.0,,
100347239537,130000.0,6000000.0,130000.0,130000.0,,
100347239671,130000.0,6000000.0,130000.0,130000.0,,
100347229488,62000.0,2000000.0,62000.0,62000.0,,
100347245586,55000.0,5000000.0,,,,
100347223690,62000.0,4000000.0,,,,
100346337186,100000.0,3200000.0,100000.0,,,
100346820819,81000.0,3000000.0,81000.0,81000.0,,
100346818104,83000.0,3000000.0,83000.0,83000.0,,
100347221492,131000.0,,131000.0,262000.0,,
100347222129,131000.0,,131000.0,262000.0,,
100347321075,95000.0,3000000.0,95000.0,,,
100346534918,96000.0,3000000.0,96000.0,48000.0,,
100346832341,105000.0,5000000.0,,,,
100311186330,76000.0,5500000.0,,76000.0,,
100346372612,80000.0,3300000.0,,80000.0,,
100347321352,125000.0,4000000.0,125000.0,125000.0,,
100347319640,125000.0,4000000.0,125000.0,125000.0,,
100347321063,125000.0,4000000.0,125000.0,125000.0,,
100346527254,100000.0,3000000.0,200000.0,,,
100346533295,100000.0,3000000.0,200000.0,,,
100346578605,100000.0,3000000.0,200000.0,,,
100347273305,73000.0,6500000.0,,,,
100346334853,77000.0,6100000.0,,77000.0,,
100346622570,115000.0,4700000.0,,,,
100347255546,100000.0,5000000.0,100000.0,150000.0,,
100347296484,111000.0,3900000.0,,111000.0,,
100253322700,80000.0,3300000.0,,80000.0,,
100347283792,80000.0,3300000.0,,80000.0,,
100347285502,80000.0,3300000.0,,80000.0,,
100346334839,78000.0,3300000.0,,78000.0,,
100346336193,78000.0,3300000.0,,78000.0,,
100346488027,78000.0,3300000.0,,78000.0,,
100346502193,78000.0,3300000.0,,78000.0,,
100346482884,78000.0,3300000.0,,78000.0,,
100346357814,78000.0,3300000.0,,78000.0,,
100347177762,76000.0,5500000.0,,76000.0,,
100346495265,82000.0,3000000.0,82000.0,82000.0,,
100346627697,104000.0,5000000.0,104000.0,104000.0,,
100346409350,78500.0,5000000.0,,78500.0,,
100346337183,78500.0,5500000.0,,78500.0,,
100347296528,104000.0,5000000.0,104000.0,104000.0,,
100346622073,115000.0,4700000.0,,,,
100346673798,115000.0,4700000.0,,,,
100328589809,115000.0,4700000.0,,,,
100337014419,73000.0,4000000.0,,,,
100346409347,78000.0,3300000.0,,78000.0,,
100347292923,85000.0,3000000.0,85000.0,,,
100347279117,73000.0,4000000.0,,,,
100347236264,77000.0,3000000.0,,,,
100347278075,77000.0,3000000.0,,,,
100346533267,70000.0,5000000.0,70000.0,70000.0,,
100346578655,78000.0,3300000.0,,78000.0,,
100346541385,124000.0,5500000.0,124000.0,,,
100346992264,71000.0,5500000.0,,,,
100344960971,118000.0,5000000.0,118000.0,118000.0,,
100347301727,76000.0,4000000.0,,,,
100347301735,75000.0,4000000.0,,,,
100347301745,75000.0,4000000.0,,,,
100347301743,75000.0,4000000.0,,,,
100347301731,73000.0,4000000.0,,,,
100347301715,73000.0,4000000.0,,,,
100346762461,160000.0,,320000.0,160000.0,,
100346813691,160000.0,,320000.0,160000.0,,
100346764410,160000.0,,320000.0,160000.0,,
100346867412,160000.0,,320000.0,160000.0,,
100346782340,160000.0,,320000.0,160000.0,,
100346659111,160000.0,,320000.0,160000.0,,
100346790352,160000.0,,320000.0,160000.0,,
100346790121,160000.0,,320000.0,160000.0,,
100338001606,160000.0,,160000.0,320000.0,,
100347301729,72000.0,4000000.0,,,,
100347301742,72000.0,4000000.0,,,,
100347301736,72000.0,4000000.0,,,,
100347301720,72000.0,4000000.0,,,,
100347320992,70000.0,3500000.0,,70000.0,,
100347321462,70000.0,3500000.0,,70000.0,,
100346934078,62000.0,2000000.0,62000.0,62000.0,,
100347301730,71000.0,4000000.0,,,,
100347301733,71000.0,4000000.0,,,,
100270696641,145000.0,6000000.0,,72500.0,,
100347306650,86000.0,6600000.0,,,,
100347269757,124000.0,5000000.0,124000.0,,,
100347197218,124000.0,5000000.0,124000.0,,,
100347321310,124000.0,5000000.0,124000.0,,,
100347222105,83000.0,5500000.0,,,,
100346934070,60000.0,2000000.0,60000.0,60000.0,,
100346556537,70000.0,5000000.0,70000.0,70000.0,,
100346637972,70000.0,5000000.0,70000.0,70000.0,,
100346350235,60000.0,4000000.0,60000.0,60000.0,,
100347222093,84000.0,5500000.0,,,,
100346856126,65000.0,5000000.0,65000.0,,,
100346934023,65000.0,5000000.0,65000.0,,,
100347320974,77000.0,3000000.0,,,,
100347294291,94000.0,,94000.0,,,
100347202720,70000.0,5000000.0,70000.0,70000.0,,
100347318752,127000.0,,254000.0,127000.0,,
100347278206,160000.0,,320000.0,160000.0,,
100347292922,70000.0,3000000.0,70000.0,,,
100347301737,85000.0,3000000.0,85000.0,85000.0,,
100312048994,66000.0,2000000.0,,,,
100347301711,87000.0,3000000.0,87000.0,87000.0,,
100347301724,87000.0,3000000.0,87000.0,87000.0,,
100347301716,87000.0,3000000.0,87000.0,87000.0,,
100347223205,145000.0,6000000.0,,72500.0,,
100346419017,60000.0,3500000.0,,60000.0,,
100346372610,60000.0,3500000.0,,60000.0,,
100347254899,55000.0,3000000.0,,,,
100347279114,62000.0,2000000.0,62000.0,62000.0,,
100347103623,55000.0,5000000.0,,,,
100347294308,74000.0,4000000.0,74000.0,37000.0,,
100347262682,77000.0,3000000.0,,,,
100347301725,61000.0,7500000.0,61000.0,,,
100346782098,57000.0,3000000.0,,,,
100346856114,57000.0,3000000.0,,,,
100347028405,57000.0,3000000.0,,,,
100346867718,57000.0,3000000.0,,,,
100328425639,64000.0,3000000.0,64000.0,64000.0,,
100347296524,64000.0,3000000.0,64000.0,64000.0,,
100302574309,65000.0,3000000.0,65000.0,,,
100347243915,55000.0,5000000.0,,,,
100347240536,55000.0,5000000.0,,,,
100347223561,62000.0,4000000.0,,,,
100346372614,57000.0,2000000.0,,,,
100347278019,59000.0,3000000.0,59000.0,,,
100347227387,70000.0,2000000.0,70000.0,,,
100347277993,70000.0,2000000.0,70000.0,,,
