物件CD,連番,施設名,ジャンル,距離(m)
100347321439,1,業務スーパーいぶき野店,スーパー,334.0
100347321439,2,OKストア長津田店,スーパー,750.0
100347321439,3,ローソン横浜いぶき野店,コンビニ,293.0
100347321439,4,ドラッグセイムスいぶき野店,ドラッグストア,371.0
100347321439,5,一般社団法人日本厚生団長津田厚生総合病院,病院,1678.0
100347321439,6,長津田駅北口郵便局,郵便局,1261.0
100337642376,1,ローソン十日市場店,コンビニ,710.0
100337642376,2,セブンイレブン横浜十日市場東店,コンビニ,690.0
100337642376,3,ダイエー十日市場店,スーパー,720.0
100337642376,4,ライフ青葉しらとり台店,スーパー,1110.0
100337642376,5,モスバーガー十日市場駅前店,飲食店,750.0
100337642376,6,Fit　Care　DEPOT十日市場店,ドラッグストア,440.0
100347268642,1,緑郵便局,郵便局,1203.0
100347268642,2,ファミリーマート中山駅南口店,コンビニ,944.0
100347268642,3,ビッグボーイ中山店,飲食店,1270.0
100347268642,4,ツルハドラッグ中山店,ドラッグストア,768.0
100347268642,5,マルエツ中山店,スーパー,1264.0
100347268642,6,マクドナルド中山店,飲食店,974.0
100347262606,1,食品館あおば中山店,スーパー,433.0
100347262606,2,ローソン 緑三保町店,コンビニ,130.0
100347262606,3,ハックドラッグ中山店,ドラッグストア,265.0
100347262606,4,マルダイスクエア,ショッピングセンター,391.0
100347262606,5,有田医院,病院,668.0
100347262606,6,みどり寺山保育園,幼稚園・保育園,246.0
100347242238,1,スターバックスコーヒー,飲食店,2342.0
100347242238,2,ミニスーパーマツケイ,スーパー,136.0
100347242238,3,スーパーマーケットリコス,スーパー,1162.0
100347242238,4,エンゼル,スーパー,1030.0
100347242238,5,ららぽーと横浜,ショッピングセンター,2310.0
100347242238,6,セブン-イレブン 横浜東本郷５丁目店,コンビニ,67.0
100347239537,1,スターバックスコーヒー,飲食店,2342.0
100347239537,2,ミニスーパーマツケイ,スーパー,136.0
100347239537,3,スーパーマーケットリコス,スーパー,1162.0
100347239537,4,エンゼル,スーパー,1030.0
100347239537,5,ららぽーと横浜,ショッピングセンター,2310.0
100347239537,6,セブン-イレブン 横浜東本郷５丁目店,コンビニ,67.0
100347239671,1,スターバックスコーヒー,飲食店,2342.0
100347239671,2,ミニスーパーマツケイ,スーパー,136.0
100347239671,3,スーパーマーケットリコス,スーパー,1162.0
100347239671,4,エンゼル,スーパー,1030.0
100347239671,5,ららぽーと横浜,ショッピングセンター,2310.0
100347239671,6,セブン-イレブン 横浜東本郷５丁目店,コンビニ,67.0
100347229488,1,セブンイレブン 横浜長津田みなみ台店,コンビニ,350.0
100347229488,2,OK(オーケー) 長津田店,スーパー,450.0
100347229488,3,ドン・キホーテ東名横浜インター店,その他,1100.0
100347229488,4,横浜新緑総合病院,病院,1500.0
100347229488,5,私立昭和大学横浜キャンパス,大学・短大,1706.0
100347229488,6,横浜創英短期大学,大学・短大,2457.0
100347245586,1,ガスト,飲食店,1171.0
100347245586,2,イオンフードスタイル,スーパー,1209.0
100347245586,3,ローソン,コンビニ,1242.0
100347245586,4,ハックドラック,ドラッグストア,1307.0
100347245586,5,郵便局,郵便局,1289.0
100347223690,1,青葉台東急スクエアSouth－1本館,ショッピングセンター,2000.0
100347223690,2,西松屋横浜青葉ガーデン桂台店,ショッピングセンター,2500.0
100347223690,3,OKストア長津田店,スーパー,520.0
100347223690,4,業務スーパーいぶき野店,スーパー,500.0
100347223690,5,マルエツ長津田駅前店,スーパー,870.0
100347223690,6,ローソン LAWSON緑長津田店,コンビニ,540.0
100346337186,1,食品館あおば中山店,スーパー,705.0
100346337186,2,ローソン 緑三保町店,コンビニ,648.0
100346337186,3,ハックドラッグ中山店,ドラッグストア,537.0
100346337186,4,マルダイスクエア,ショッピングセンター,608.0
100346337186,5,有田医院,病院,885.0
100346337186,6,みどり寺山保育園,幼稚園・保育園,547.0
100346820819,1,マルエツ中山店,スーパー,396.0
100346820819,2,中山とうきゅう,スーパー,552.0
100346820819,3,ファミリーマート中山駅南口店,コンビニ,390.0
100346820819,4,セブンイレブン横浜森の台店,コンビニ,772.0
100346820819,5,ツルハドラッグ中山店,ドラッグストア,423.0
100346820819,6,ボーイ中山店,飲食店,401.0
100346818104,1,マルエツ中山店,スーパー,396.0
100346818104,2,中山とうきゅう,スーパー,552.0
100346818104,3,ファミリーマート中山駅南口店,コンビニ,390.0
100346818104,4,セブンイレブン横浜森の台店,コンビニ,772.0
100346818104,5,ツルハドラッグ中山店,ドラッグストア,423.0
