物件CD,物件名,築年数,所在地_都道府県,所在地_市区町村,所在地_番地,建築種別,構造,向き,階建,間取り,間取り詳細,専有面積(m^2),間取り図,取引様態,取引先,更新日
100347321439,東急田園都市線 長津田駅 3階建 築27年,1996年12月,神奈川県,横浜市,緑区いぶき野,マンション,鉄筋コン,西,1階/3階建,2LDK,洋6 洋5.9 LDK10.4,51.38,https://img01.suumo.com/front/gazo/fr/bukken/439/100347321439/100347321439_co.jpg,仲介,(株)タウンハウジング神奈川 青葉台店,2023-10-06
100337642376,ＪＲ横浜線 十日市場駅 3階建 新築,2023年11月,神奈川県,横浜市,緑区十日市場町,テラス・タウンハウス,木造,南東,1階/3階建,2SLDK,洋8.5 洋6.5 LDK12.3 納戸 3.1,70.8,https://img01.suumo.com/front/gazo/fr/bukken/376/100337642376/100337642376_co.jpg,仲介,(株)タウンハウジング神奈川 中央林間店,2023-10-06
100347268642,ＪＲ横浜線 中山駅 2階建 築6年,2018年3月,神奈川県,横浜市,緑区台村町,アパート,軽量鉄骨,北東,2階/2階建,1K,洋8.3 K2.1,27.4,https://img01.suumo.com/front/gazo/fr/bukken/642/100347268642/100347268642_co.jpg,仲介,(株)タウンハウジング神奈川 中央林間店,2023-10-06
100347262606,コンフォール三保,1998年6月,神奈川県,横浜市,緑区三保町,マンション,鉄筋コン,南東,5階/5階建,3DK,洋6.5 洋6 洋4.7 DK10.2,60.85,https://img01.suumo.com/front/gazo/fr/bukken/606/100347262606/100347262606_co.jpg,仲介,アエラス町田店 (株)アエラス.GR,2023-10-06
100347242238,ＪＲ横浜線 鴨居駅 3階建 築20年,2004年5月,神奈川県,横浜市,緑区東本郷６,マンション,鉄筋コン,-,2階/3階建,3LDK,-,68.38,https://img01.suumo.com/front/gazo/fr/bukken/238/100347242238/100347242238_co.jpg,仲介,令和ハウジング (株)さくらスタイル令和ハウジング,2023-10-06
100347239537,ノーブル・フォレスタII,2004年5月,神奈川県,横浜市,緑区東本郷６,マンション,鉄筋コン,-,2階/3階建,3LDK,-,68.38,https://img01.suumo.com/front/gazo/fr/bukken/537/100347239537/100347239537_co.jpg,仲介,横浜ルームギャラリー (株)さくらスタイル,2023-10-06
100347239671,ノーブル・フォレスタII,2004年5月,神奈川県,横浜市,緑区東本郷６,マンション,鉄筋コン,-,2階/3階建,3LDK,-,68.38,https://img01.suumo.com/front/gazo/fr/bukken/671/100347239671/100347239671_co.jpg,仲介,さくらde賃貸-new life- (株)さくらスタイル,2023-10-06
100347229488,ＪＲ横浜線 長津田駅 2階建 築19年,2005年1月,神奈川県,横浜市,緑区長津田みなみ台１,マンション,鉄骨,南,1階/2階建,1K,洋7.5,25.0,https://img01.suumo.com/front/gazo/fr/bukken/488/100347229488/100347229488_co.jpg,仲介,朝日リビング(株)十日市場営業所,2023-10-06
100347245586,ジーエーヒルズ鴨居,2017年6月,神奈川県,横浜市,緑区東本郷６,アパート,木造,-,2階/2階建,ワンルーム,洋6,15.47,https://img01.suumo.com/front/gazo/fr/bukken/586/100347245586/100347245586_co.jpg,仲介,(株)ネクストライフ新横浜店,2023-10-06
100347223690,東急田園都市線 長津田駅 4階建 築37年,1987年3月,神奈川県,横浜市,緑区いぶき野,マンション,鉄筋コン,南,1階/4階建,1DK,洋6.5 DK6.5,23.08,https://img01.suumo.com/front/gazo/fr/bukken/690/100347223690/100347223690_co.jpg,仲介,(株)タウンハウジング神奈川 中央林間店,2023-10-06
100346337186,ファンバレーハイツIII C棟,2006年3月,神奈川県,横浜市,緑区台村町,アパート,軽量鉄骨,南,1階/2階建,2LDK,洋6.8 洋6 LDK10.5,57.89,https://img01.suumo.com/front/gazo/fr/bukken/186/100346337186/100346337186_co.jpg,仲介,アエラス町田店 (株)アエラス.GR,2023-10-06
100346820819,グリーンライン 中山駅 2階建 築9年,2014年11月,神奈川県,横浜市,緑区寺山町,マンション,気泡コン,南,1階/2階建,1LDK,洋4.3 LDK10.0,35.25,https://img01.suumo.com/front/gazo/fr/bukken/819/100346820819/100346820819_co.jpg,仲介,(株)タウンハウジング神奈川 中央林間店,2023-10-06
100346818104,Ho Me,2014年11月,神奈川県,横浜市,緑区寺山町,マンション,気泡コン,南,1階/2階建,1LDK,洋4.3 LDK10.0,35.25,https://img01.suumo.com/front/gazo/fr/bukken/104/100346818104/100346818104_co.jpg,仲介,(株)タウンハウジング神奈川 青葉台店,2023-10-06
100347221492,ＪＲ横浜線 十日市場駅 3階建 新築,2023年11月,神奈川県,横浜市,緑区十日市場町,テラス・タウンハウス,木造,南東,1階/3階建,2SLDK,洋8.5 洋6.5 LD9.3K3.0 納戸 3.1,70.8,https://img01.suumo.com/front/gazo/fr/bukken/492/100347221492/100347221492_co.jpg,仲介,(株)タウンハウジング神奈川 センター南店,2023-10-06
100347222129,ＪＲ横浜線 十日市場駅 3階建 新築,2023年11月,神奈川県,横浜市,緑区十日市場町,テラス・タウンハウス,木造,南東,1階/3階建,2SLDK,洋8.5 洋6.5 LD9.3K3.0 納戸 3.1,70.8,https://img01.suumo.com/front/gazo/fr/bukken/129/100347222129/100347222129_co.jpg,仲介,(株)タウンハウジング神奈川 センター北店,2023-10-06
